time,headx,heady,neckx,necky,rshoulderx,rshouldery,relbowx,relbowy,rwristx,rwristy,lshoulderx,lshouldery,lelbowx,lelbowy,lwristx,lwristy,rhipx,rhipy,rkneex,rkneey,lhipx,lhipy,lkneex,lkneey,chestx,chesty
5.5,272,96,272,176,240,208,208,256,144,256,320,192,352,256,368,256,240,320,240,432,304,320,320,432,272,256
5.6,272,96,272,176,240,208,192,256,144,256,320,192,352,256,368,240,256,320,240,432,304,320,320,432,272,256
5.7,272,96,272,176,240,192,192,240,144,240,320,192,352,240,368,256,256,320,240,432,304,320,320,432,272,256
5.8,272,96,272,176,240,192,176,208,144,192,320,192,368,240,368,256,256,320,240,432,304,320,320,432,272,256
5.9,256,96,272,176,240,176,176,144,176,80,320,192,368,240,368,288,240,320,240,432,304,320,320,432,272,256
6,256,96,272,176,240,176,176,128,176,64,320,192,368,240,368,288,240,320,224,432,304,320,320,432,272,256
6.1,256,96,272,176,224,176,176,128,176,64,320,192,368,240,368,288,224,320,224,432,288,320,304,432,272,256
6.2,256,96,272,176,224,176,176,128,176,64,320,192,368,240,368,288,224,320,224,432,288,320,304,432,272,256
6.3,256,96,272,176,224,176,176,144,160,80,320,192,368,240,368,288,224,320,224,432,288,320,304,432,272,256
6.4,256,96,272,176,224,176,176,160,144,112,320,192,384,224,368,256,224,320,224,432,288,320,304,432,272,256
6.5,272,96,272,176,224,176,176,176,144,144,320,192,384,208,368,208,240,304,224,432,288,320,304,416,272,256
6.6,256,96,272,176,240,192,192,208,160,224,320,176,384,176,368,128,256,320,240,432,304,320,320,432,272,256
6.7,256,96,272,176,240,208,192,240,160,288,320,176,384,160,368,112,272,320,240,432,320,320,320,432,288,256
6.8,256,112,272,176,240,208,208,256,176,304,320,176,384,160,368,128,272,320,256,432,320,320,336,432,288,256
6.9,256,112,272,176,240,208,208,256,176,288,320,176,384,176,368,128,272,320,256,432,320,320,336,432,288,256
7,256,96,272,176,240,192,192,240,176,272,320,176,384,176,368,144,272,320,240,432,320,320,320,416,288,256
7.1,272,96,288,176,240,160,192,144,144,176,336,208,352,256,384,304,240,304,224,432,288,320,304,416,272,256
7.2,272,96,272,176,240,176,176,160,128,144,320,208,352,272,384,336,224,320,224,416,288,320,304,416,272,256
7.3,224,112,256,192,224,224,192,272,144,240,304,176,368,176,368,240,272,320,256,416,336,320,336,416,272,256
7.4,224,128,256,192,224,240,208,304,176,288,304,176,352,160,368,192,288,320,256,432,336,320,336,432,288,272
7.5,240,112,256,192,224,224,192,288,176,304,304,192,384,208,368,176,272,320,256,416,336,320,336,432,288,272
7.6,256,96,272,176,224,192,176,224,160,288,320,192,368,240,368,192,256,320,240,416,320,320,320,416,288,256
7.7,272,96,272,176,240,176,176,176,160,224,320,192,336,256,368,240,240,304,240,416,304,320,304,416,272,256
7.8,256,96,272,176,224,176,176,192,128,176,320,176,384,208,384,272,240,304,240,416,304,320,304,416,272,256
7.9,256,96,272,176,224,208,192,240,128,208,320,160,384,144,384,208,256,320,240,432,304,320,320,432,272,256
8,256,96,272,176,240,208,208,272,160,272,320,176,368,144,384,144,256,320,240,432,320,320,320,432,288,256
8.1,256,96,272,176,224,208,224,272,176,304,320,176,384,176,400,128,256,320,240,432,320,320,320,432,288,256
8.2,272,96,272,176,224,192,192,240,128,256,320,192,384,208,384,160,240,320,240,432,304,320,320,432,272,256
8.3,288,112,288,176,240,192,176,224,112,224,320,208,384,256,384,192,224,320,224,432,272,320,288,432,256,256
8.4,288,112,288,192,240,192,176,208,112,192,320,224,384,272,384,224,208,320,208,432,256,336,288,432,256,272
8.5,288,128,288,192,240,192,176,208,112,192,320,224,368,288,384,240,208,320,208,432,256,336,288,432,256,272
8.6,288,128,288,192,240,192,176,224,112,208,320,224,368,272,384,224,208,336,208,432,256,336,288,432,256,272
8.7,272,96,272,176,224,192,176,240,128,240,320,192,384,224,384,224,224,320,224,432,288,320,304,416,272,256
8.8,256,96,272,176,224,192,192,240,160,256,320,176,352,208,384,256,256,320,240,416,304,320,320,416,272,256
8.9,256,96,272,176,224,192,160,224,144,192,320,192,352,240,384,272,272,320,256,432,320,320,336,416,288,256
9,256,112,272,176,224,192,160,208,144,192,320,192,384,240,384,240,272,320,256,432,320,320,320,416,288,256
9.1,272,96,272,176,224,192,176,224,144,224,320,192,384,192,336,192,256,320,240,416,320,320,320,416,288,256
9.2,272,96,272,160,224,192,192,240,160,256,320,176,384,192,384,160,256,320,240,416,304,320,320,416,272,256
9.3,272,96,272,160,240,192,208,240,160,240,320,176,384,192,400,176,240,320,224,432,304,320,304,416,272,256
9.4,272,96,288,176,240,176,176,208,128,192,320,192,368,208,400,192,240,320,224,432,288,320,304,416,272,256
9.5,272,96,272,160,224,176,160,176,128,128,320,192,368,176,368,112,240,320,224,432,288,320,304,416,272,256
9.6,272,96,272,160,224,176,160,160,144,96,320,176,368,160,352,96,240,320,224,432,304,320,304,432,272,256
9.7,256,96,256,160,224,176,160,160,160,80,304,176,352,144,336,64,240,320,224,432,304,320,320,432,272,240
9.8,240,96,256,160,224,192,160,160,144,96,304,176,352,144,320,64,240,320,224,432,304,320,320,432,272,256
9.9,256,96,256,160,224,192,160,176,144,112,304,176,352,144,336,80,240,320,224,432,304,320,320,432,272,256
10,256,96,256,176,224,192,160,208,144,160,304,192,368,192,336,160,240,320,224,432,304,320,320,432,272,256
10.1,256,96,272,176,224,192,176,224,144,224,320,192,352,224,352,256,240,320,224,432,304,320,304,432,272,256
10.2,272,96,272,176,224,192,176,256,160,320,320,208,352,256,352,320,240,320,224,432,288,320,304,432,272,256
10.3,272,96,272,176,224,192,176,256,160,304,320,192,368,256,368,320,240,320,224,432,288,320,304,432,272,256
10.4,272,96,272,176,224,192,176,240,160,304,320,192,368,256,368,320,240,320,224,432,288,320,304,432,272,256
10.5,288,96,272,176,240,176,176,224,144,256,320,208,352,256,368,288,224,320,224,432,288,320,304,432,272,256
10.6,272,96,272,176,240,176,192,208,144,208,320,192,368,256,352,272,240,320,224,432,288,320,304,432,272,256
10.7,272,96,272,160,224,176,176,192,144,176,320,192,368,208,368,208,240,320,224,432,288,320,304,432,272,256
10.8,256,96,272,176,224,176,192,176,160,144,304,176,368,176,368,144,240,320,224,432,304,320,304,432,272,240
10.9,224,112,256,176,224,192,192,192,176,160,304,176,368,176,336,128,240,320,224,432,288,320,320,432,256,256
11,208,112,240,192,224,208,176,224,176,176,288,176,352,176,304,128,240,320,240,432,304,320,320,432,256,256
11.1,192,128,240,192,208,208,176,224,160,192,272,176,336,176,304,128,240,320,240,432,304,320,320,432,256,256
11.2,208,128,240,192,208,208,176,240,160,192,272,176,336,176,304,128,240,320,240,432,304,320,320,432,256,256
11.3,208,112,240,176,208,208,176,224,144,192,288,176,352,176,320,128,240,320,240,432,304,320,320,432,256,256
11.4,224,112,240,176,208,192,160,224,144,176,288,176,368,176,320,128,224,320,224,432,288,320,304,432,256,256
11.5,272,112,272,176,208,192,160,208,128,176,320,208,384,224,352,160,208,320,224,432,272,320,288,416,256,256
11.6,288,112,272,176,224,192,176,208,112,208,320,208,368,240,352,208,208,320,224,416,272,320,288,416,256,256
11.7,304,112,288,192,240,192,176,224,128,224,320,208,352,240,352,256,224,320,224,432,272,320,304,416,272,256
11.8,288,112,288,176,240,192,176,208,128,208,320,208,368,224,368,224,224,320,224,432,288,320,304,432,272,256
11.9,272,96,272,176,224,192,160,224,128,208,320,192,384,224,352,208,240,320,224,432,304,320,320,432,272,256
12,240,112,256,176,224,208,192,256,160,224,304,192,352,224,368,208,256,320,240,432,304,320,320,432,272,256
12.1,224,112,256,192,224,224,192,272,160,240,304,192,352,224,352,192,256,320,240,432,304,320,320,432,272,272
12.2,224,128,256,192,224,224,192,288,160,240,288,192,352,224,352,176,240,320,240,432,304,320,320,432,272,272
12.3,224,112,240,192,208,224,192,272,160,240,288,192,352,224,352,176,240,320,240,432,304,320,320,432,272,272
12.4,224,112,256,176,208,224,176,256,144,224,288,192,352,224,352,176,240,320,240,432,304,320,304,432,256,256
12.5,240,96,256,176,208,208,160,240,128,224,304,192,368,224,352,176,240,320,224,432,288,320,304,432,256,256
12.6,256,96,256,176,208,192,160,224,128,240,304,192,352,224,352,240,224,320,224,432,288,320,304,416,256,256
12.7,256,96,256,176,208,192,160,224,128,240,304,192,352,224,352,240,224,320,224,416,288,320,304,416,256,256
12.8,256,96,256,176,208,192,160,208,128,208,304,192,352,224,352,224,224,320,224,432,288,320,304,416,256,256
12.9,240,112,256,176,224,208,160,224,128,176,304,192,352,192,352,144,240,320,240,432,304,320,320,432,272,256
13,240,128,256,192,224,224,160,240,128,176,304,192,352,192,336,128,240,320,240,432,304,320,320,432,272,272
13.1,240,128,256,192,224,224,160,240,128,192,304,192,352,192,336,128,256,320,240,432,304,336,320,432,272,272
13.2,240,128,256,192,224,224,160,256,128,192,304,192,352,192,336,128,240,320,240,432,304,336,320,432,272,272
13.3,240,128,256,192,224,224,160,256,128,192,304,192,352,192,336,128,240,320,240,432,304,320,320,432,272,272
13.4,240,128,256,192,224,224,160,256,128,192,304,192,352,192,336,128,240,320,240,432,304,336,320,432,272,272
13.5,240,112,256,192,224,224,160,256,128,192,304,192,352,192,336,128,240,320,240,432,304,320,320,432,272,272
13.6,240,112,256,176,208,208,160,240,128,192,304,192,352,208,336,160,240,320,224,432,288,320,304,432,256,256
13.7,256,96,256,176,208,192,160,224,128,192,304,192,352,224,336,160,224,320,224,432,288,320,304,416,256,256
13.8,272,96,272,176,224,192,160,224,128,176,320,192,352,256,352,192,224,320,224,416,288,320,304,416,256,256
13.9,256,96,272,176,224,192,160,224,144,176,320,192,352,224,352,160,240,320,240,432,304,320,320,416,272,256
14,240,112,256,176,224,224,176,256,144,192,304,192,368,192,336,128,256,320,240,432,320,320,320,432,272,256
14.1,224,112,256,192,224,224,176,272,144,208,304,176,352,176,304,128,256,320,240,432,320,320,320,432,272,256
14.2,224,112,256,176,224,224,176,272,144,208,304,176,352,176,304,128,256,320,240,432,320,320,320,432,272,256
14.3,256,112,256,176,224,192,160,240,144,176,304,192,352,208,336,144,240,304,224,432,288,320,304,416,256,256
14.4,272,112,272,176,224,192,160,224,144,160,304,192,352,240,336,176,224,320,224,432,272,320,304,432,256,256
14.5,272,112,272,176,224,192,160,208,160,160,320,208,352,240,352,176,224,320,224,432,288,320,304,416,256,256
14.6,256,96,272,176,224,208,176,240,160,176,320,192,368,208,352,144,256,320,240,432,304,320,320,432,272,256
14.7,240,112,272,176,224,208,192,256,160,192,320,176,368,176,336,128,272,320,240,432,320,320,320,432,288,256
14.8,240,112,256,176,224,224,192,272,160,208,304,176,368,176,320,128,272,320,240,432,320,320,320,432,288,256
14.9,256,112,272,176,224,208,176,256,160,192,304,192,368,176,320,128,256,320,240,432,320,320,320,432,272,256
15,272,112,272,176,224,192,160,208,144,160,320,192,352,208,336,144,224,320,224,432,288,320,304,432,256,256
15.1,272,112,272,176,224,192,176,208,128,160,320,208,352,224,336,176,224,320,224,432,272,320,304,432,256,256
15.2,272,112,272,176,224,192,176,208,112,192,320,208,352,240,384,272,224,320,224,432,272,320,304,432,256,256
15.3,272,112,272,176,224,192,176,240,112,272,320,192,352,240,400,304,240,320,224,432,288,320,304,416,272,256
15.4,256,96,272,176,224,208,176,240,128,288,320,192,352,240,400,304,240,320,240,432,304,320,320,432,272,256
15.5,256,96,272,176,224,208,192,256,128,288,320,192,352,240,400,304,240,320,224,432,288,320,304,432,272,256
15.6,256,96,272,176,224,192,176,240,112,272,320,192,352,240,400,288,224,320,224,448,272,320,304,432,256,256
15.7,272,112,272,176,224,192,160,208,112,208,320,208,368,256,416,288,208,320,208,448,272,320,288,432,256,256
15.8,272,112,272,176,224,192,160,192,112,160,320,208,368,256,416,256,224,320,224,448,272,320,304,432,256,256
15.9,272,96,272,176,224,192,176,208,128,144,320,208,368,224,400,224,240,320,224,432,288,320,304,432,272,256
16,256,112,272,176,240,192,176,224,144,176,320,192,384,192,400,160,256,320,240,432,320,320,320,432,288,256
16.1,256,112,272,176,240,208,192,256,144,192,320,176,384,160,384,128,272,320,240,432,320,320,320,432,288,256
16.2,240,112,272,176,240,224,208,272,160,256,304,176,368,144,336,112,256,320,240,416,320,320,320,432,288,256
16.3,256,112,256,176,224,208,192,256,144,272,304,176,368,176,320,160,240,320,224,432,288,320,304,432,272,256
16.4,256,96,272,176,224,192,176,224,112,240,304,192,352,208,352,208,224,320,224,432,272,320,304,432,256,256
16.5,272,112,272,176,224,192,176,208,96,192,320,208,352,240,384,240,224,320,224,432,272,320,288,432,256,256
16.6,272,112,272,176,224,176,160,192,96,160,320,208,352,256,400,272,224,320,224,432,272,320,304,432,256,256
16.7,272,96,272,176,224,176,176,176,112,128,320,192,368,240,400,272,240,320,224,432,304,320,320,432,272,256
16.8,256,112,272,176,224,192,176,192,112,144,320,192,368,208,384,224,256,320,240,432,304,320,320,432,272,256
16.9,256,112,272,176,240,208,176,208,128,176,320,192,384,192,384,192,272,320,240,432,320,320,320,432,288,256
17,240,112,272,176,240,224,192,256,128,208,320,176,368,160,384,160,272,320,240,432,320,320,320,432,288,256
17.1,240,112,272,192,240,224,192,272,128,272,304,176,368,144,352,128,272,320,240,432,320,320,320,432,288,256
17.2,240,112,256,176,224,224,192,272,128,288,304,176,368,144,352,112,256,320,240,432,304,320,320,432,272,256
17.3,240,112,256,176,224,208,176,256,112,288,304,176,368,160,352,112,240,320,240,432,304,320,320,432,272,256
17.4,256,96,256,176,224,192,160,224,96,256,304,192,368,176,368,144,224,320,224,432,288,320,304,432,256,256
17.5,256,96,256,176,224,176,160,192,96,192,304,192,368,224,368,192,224,320,224,432,272,320,304,432,256,256
17.6,272,96,272,176,224,176,176,160,112,144,304,208,352,240,368,240,224,320,224,432,272,320,304,416,256,256
17.7,272,96,272,176,224,176,176,144,128,112,304,208,352,240,368,272,224,320,224,432,288,320,304,432,256,256
17.8,256,96,272,176,224,176,176,160,128,96,320,192,368,240,368,272,240,320,224,432,288,320,304,432,272,256
17.9,240,112,272,176,240,192,176,192,128,128,320,176,384,192,384,240,256,320,240,432,320,320,320,432,288,256
18,240,112,272,176,240,208,176,224,128,176,304,176,368,144,384,176,272,320,240,432,320,320,320,432,288,256
18.1,240,112,272,176,240,224,192,256,144,272,304,160,352,128,352,112,256,320,240,432,320,320,320,432,288,256
18.2,240,112,272,176,240,208,192,272,160,304,304,160,352,128,336,80,256,320,240,432,304,320,320,432,272,256
18.3,240,112,256,176,224,208,192,256,160,304,304,176,368,144,336,80,240,320,224,432,304,320,304,432,272,256
18.4,256,96,256,176,224,208,176,240,144,304,304,176,368,160,336,96,240,320,224,432,288,320,304,432,256,256
18.5,256,96,256,176,224,192,176,240,144,288,304,176,368,160,352,96,224,320,224,432,288,320,304,432,256,256
18.6,256,96,256,176,224,208,176,240,144,288,304,176,368,160,352,112,224,320,224,432,288,320,304,432,256,256
18.7,256,96,256,176,224,208,176,240,144,288,304,176,368,160,352,112,240,320,224,432,288,320,304,432,256,256
18.8,256,96,256,176,224,208,176,240,144,288,304,176,368,176,336,112,240,320,224,432,288,320,304,432,272,256
18.9,256,112,256,176,224,208,176,240,144,288,304,176,368,176,336,112,240,320,224,432,288,320,304,432,272,256
19,256,96,272,176,224,208,176,240,128,272,320,176,368,192,352,128,240,320,224,432,288,320,304,432,272,256
19.1,256,96,272,176,224,208,160,240,96,256,304,192,368,208,384,192,240,320,224,432,288,320,304,432,272,256
19.2,256,96,272,176,224,192,160,240,96,240,320,192,352,224,416,224,240,320,224,432,288,320,304,432,272,256
19.3,256,96,256,176,224,192,160,224,96,240,304,192,352,224,416,240,240,320,224,432,288,320,304,432,256,256
19.4,256,96,256,176,224,192,160,224,96,240,304,192,352,224,416,240,224,320,224,432,288,320,304,432,256,256
19.5,256,96,256,176,224,192,160,224,96,240,304,192,352,240,416,240,224,320,224,432,272,320,304,432,256,256
19.6,256,96,256,176,208,192,160,224,80,224,304,192,352,240,400,256,224,320,224,432,272,320,304,432,256,256
19.7,256,96,256,176,208,192,160,240,96,224,304,192,352,240,400,256,224,320,224,432,272,320,304,432,256,256
19.8,256,96,256,176,208,192,160,240,96,224,304,208,352,256,400,256,224,320,224,432,272,320,304,432,256,256
19.9,256,96,256,176,208,192,160,256,96,224,304,208,336,256,400,256,224,320,224,432,272,320,304,432,256,256
20,256,96,256,176,208,208,176,256,128,224,304,208,336,256,368,240,224,320,224,432,288,320,304,432,256,256
20.1,256,96,272,176,224,192,192,256,128,224,304,192,352,240,384,224,224,320,224,432,288,320,304,432,256,256
20.2,256,96,272,160,224,192,192,256,144,224,320,192,368,240,384,208,240,320,224,432,304,320,304,432,272,256
20.3,272,96,272,160,240,208,208,256,176,208,320,176,384,224,368,176,256,320,240,432,304,320,320,432,288,256
20.4,272,96,288,176,256,208,208,256,192,208,336,176,384,224,368,160,272,320,240,432,320,320,320,432,288,256
20.5,272,96,288,176,256,208,208,240,192,192,336,192,384,208,368,144,272,320,256,432,320,320,320,432,304,256
20.6,288,96,304,176,256,208,208,240,208,192,336,192,384,208,352,144,272,320,256,432,320,320,320,432,304,256
20.7,288,96,304,176,256,208,224,256,224,192,336,192,384,208,352,144,272,320,256,432,320,320,320,432,304,256
20.8,288,96,304,176,256,208,208,240,208,192,336,192,384,208,368,160,272,320,240,432,320,320,320,432,304,256
20.9,288,96,288,176,256,192,208,240,176,192,336,192,384,240,384,176,256,320,240,432,320,320,320,432,288,256
21,288,96,288,176,256,192,208,240,160,224,336,192,368,256,384,224,256,320,240,432,304,320,320,432,288,256
21.1,288,96,288,176,240,192,192,240,144,256,336,208,352,256,384,304,240,320,224,432,304,320,304,432,272,256
21.2,288,96,288,176,240,192,208,256,144,304,336,208,336,272,368,336,224,320,224,448,272,320,304,432,272,272
21.3,288,112,272,176,224,192,192,256,144,304,320,224,320,288,352,352,208,320,208,448,272,320,288,432,256,272
21.4,272,112,272,176,224,192,192,256,144,272,320,208,320,272,352,304,208,320,208,432,272,320,288,432,256,256
21.5,272,96,272,176,224,192,192,256,144,240,320,208,336,256,368,240,224,320,224,432,288,320,304,432,256,256
21.6,272,96,272,176,224,192,192,256,160,208,320,192,352,240,352,208,256,320,240,432,304,320,320,432,272,256
21.7,256,112,272,176,224,208,192,256,176,224,320,192,368,240,336,208,272,320,256,432,320,320,336,432,288,256
21.8,272,112,272,176,240,208,192,240,160,272,320,192,368,240,368,288,272,320,240,432,320,320,320,416,288,256
21.9,272,96,272,176,240,192,192,256,176,320,320,208,352,256,368,320,256,320,240,432,304,320,320,432,272,256
22,288,96,288,176,224,192,192,256,192,320,320,208,336,272,352,320,224,320,224,416,288,320,304,416,272,256
22.1,288,112,288,176,240,192,192,240,176,288,320,208,352,272,352,304,224,320,224,432,272,320,304,432,256,256
22.2,288,96,288,176,240,176,192,208,144,240,320,208,368,256,368,224,224,320,224,432,272,320,304,416,256,256
22.3,288,96,288,176,224,192,176,208,144,192,320,192,368,240,368,192,224,320,224,432,288,320,304,416,272,256
22.4,272,96,272,176,240,192,176,208,160,144,320,192,400,192,368,160,272,320,240,416,320,320,320,416,288,256
22.5,272,112,272,176,240,192,176,208,176,160,320,192,400,192,368,144,272,336,256,432,336,320,336,432,288,256
22.6,256,112,272,176,240,208,176,240,160,176,320,192,400,192,368,144,288,336,256,432,336,320,336,432,304,256
22.7,256,112,272,176,240,208,176,240,112,224,320,192,384,192,352,176,272,320,256,432,336,320,336,432,288,256
22.8,256,96,272,176,240,192,192,240,128,240,320,192,384,224,352,192,272,320,240,416,320,320,320,416,288,256
22.9,256,96,272,176,240,192,208,240,160,240,320,192,368,224,336,192,256,320,240,416,304,320,320,416,272,256
23,256,96,272,160,240,192,208,240,176,240,320,192,368,208,336,192,240,320,224,432,304,320,304,416,272,256
23.1,256,96,272,176,240,208,224,240,176,240,304,176,336,208,336,208,224,320,224,416,288,320,304,432,272,256
23.2,256,96,272,176,256,192,240,240,192,240,288,176,320,208,320,208,224,320,224,432,288,320,304,416,272,256
23.3,256,96,256,176,240,192,224,240,192,240,304,176,336,208,320,208,224,320,224,432,288,320,304,432,272,256
23.4,256,96,256,176,224,192,208,240,176,224,304,192,352,224,336,208,240,320,224,432,288,320,304,432,272,256
23.5,256,96,272,176,224,192,176,240,160,224,320,192,352,256,336,208,240,320,224,432,288,320,304,432,272,256
23.6,272,96,272,176,224,192,160,208,144,192,304,208,336,256,336,224,224,320,224,432,288,320,304,416,256,256
23.7,272,96,272,176,224,176,176,192,128,192,304,208,320,256,336,240,224,320,224,432,288,320,304,416,256,256
23.8,272,96,272,176,224,176,192,192,144,192,304,208,320,256,336,240,224,320,224,432,288,320,304,416,256,256
23.9,272,96,272,176,224,192,176,208,144,192,304,192,352,256,336,224,240,320,224,432,288,320,304,432,256,256
24,272,96,272,176,224,192,160,224,160,208,320,192,368,224,336,224,240,320,224,432,304,320,320,432,272,256
24.1,256,96,272,176,240,192,192,240,176,224,320,192,384,208,352,208,256,320,240,432,304,320,320,432,272,256
24.2,256,96,288,176,256,208,224,240,192,224,320,176,352,192,352,208,256,320,240,432,304,320,320,432,288,256
24.3,256,96,288,176,272,208,240,240,208,240,320,176,352,192,336,208,256,320,240,432,304,320,320,432,288,256
24.4,256,96,272,176,256,208,240,240,192,224,320,176,336,192,336,192,256,320,240,432,304,320,320,432,288,256
24.5,256,96,272,176,240,208,208,240,176,224,320,176,368,208,336,192,240,320,240,432,304,320,320,432,272,256
24.6,256,96,272,176,224,192,176,240,144,224,320,192,368,208,352,208,240,320,224,432,304,320,304,432,272,256
